Date,Close,MA_7,MA_30,shortwave_radiation_sum,temperature_2m_mean,sunshine_duration,precipitation_sum,precipitation_hours
2025-01-01,,,,7.33,-2.8295834,21494.572,0.0,0.0
2025-01-02,459.5,459.5,459.5,4.63,-3.587917,12081.995,4.7,9.0
2025-01-03,450.75,455.125,455.125,8.51,-8.387916,28806.77,0.0,0.0
2025-01-04,450.75,453.6666666666667,453.6666666666667,4.99,-11.942082,0.0,0.0,0.0
2025-01-05,450.75,452.9375,452.9375,4.08,-9.479583,363.16797,0.1,1.0
2025-01-06,457.75,453.9,453.9,9.36,-10.15875,29604.945,0.0,0.0
2025-01-07,458.0,454.5833333333333,454.5833333333333,7.22,-10.373332,22651.547,0.0,0.0
2025-01-08,454.0,454.5,454.5,9.24,-11.056667,29759.688,0.0,0.0
2025-01-09,456.0,454.0,454.6875,8.61,-8.146251,29844.184,0.0,0.0
2025-01-10,470.5,456.82142857142856,456.44444444444446,6.01,-2.0129168,15332.438,0.0,0.0
2025-01-11,470.5,459.64285714285717,457.85,5.73,-3.562917,13862.622,0.0,0.0
2025-01-12,470.5,462.4642857142857,459.0,4.9,-2.73375,5949.7563,0.1,1.0
2025-01-13,476.5,465.14285714285717,460.4583333333333,9.49,-11.077499,30224.893,0.0,0.0
2025-01-14,474.5,467.5,461.53846153846155,9.84,-12.650416,30329.744,0.70000005,4.0
2025-01-15,478.75,471.0357142857143,462.76785714285717,8.78,-12.771249,30438.055,0.0,0.0
2025-01-16,474.5,473.67857142857144,463.55,9.81,-0.66708356,30549.652,0.0,0.0
2025-01-17,484.25,475.64285714285717,464.84375,9.63,1.9245831,30664.326,0.0,0.0
2025-01-18,484.25,477.60714285714283,465.9852941176471,9.38,-6.8629165,27819.66,0.0,0.0
2025-01-19,484.25,479.57142857142856,467.0,10.25,-15.385833,30902.176,0.0,0.0
2025-01-20,484.25,480.67857142857144,467.9078947368421,9.81,-16.965,31024.973,0.0,0.0
2025-01-21,490.0,482.89285714285717,469.0125,10.57,-19.923334,31150.113,0.0,0.0
2025-01-22,484.25,483.67857142857144,469.73809523809524,6.22,-6.40875,17319.24,0.2,2.0
2025-01-23,489.75,485.85714285714283,470.64772727272725,10.25,-9.029582,31406.715,0.2,1.0
2025-01-24,486.5,486.17857142857144,471.3369565217391,7.79,-10.183748,21288.166,0.0,0.0
2025-01-25,486.5,486.5,471.96875,10.54,-1.8587505,31670.617,0.0,0.0
2025-01-26,486.5,486.82142857142856,472.55,9.75,-6.1025004,29301.135,0.0,0.0
2025-01-27,482.0,486.5,472.91346153846155,10.68,-2.5420833,28941.615,0.0,0.0
2025-01-28,485.25,485.82142857142856,473.3703703703704,10.88,1.3412501,32080.795,0.0,0.0
2025-01-29,497.0,487.64285714285717,474.2142857142857,10.95,3.5433333,32190.957,0.0,0.0
2025-01-30,490.25,487.7142857142857,474.76724137931035,8.59,2.9349997,25200.0,0.0,0.0
2025-01-31,482.0,487.07142857142856,475.0083333333333,9.88,5.7516656,25155.402,3.4,6.0
2025-02-01,482.0,486.42857142857144,475.7583333333333,5.93,1.0370833,6766.5107,0.0,0.0
